"210,7.01,0,,Aucune,		"
"211,7.04,0,,Aucune,		"
"212,7.07,0,,Aucune,		"
"213,7.11,0,,Aucune,		"
"214,7.14,0,,Aucune,		"
"215,7.17,0,,Aucune,		"
"216,7.21,0,,Aucune,		"
"217,7.24,0,,Aucune,		"
"218,7.27,0,,Aucune,		"
"219,7.31,0,,Aucune,		"
"220,7.34,0,,Aucune,		"
"221,7.37,0,,Aucune,		"
"222,7.41,0,,Aucune,		"
"223,7.44,0,,Aucune,		"
"224,7.47,0,,Aucune,		"
"225,7.51,0,,Aucune,		"
"226,7.54,0,,Aucune,		"
"227,7.57,0,,Aucune,		"
"228,7.61,0,,Aucune,		"
"229,7.64,0,,Aucune,		"
"230,7.67,0,,Aucune,		"
"231,7.71,0,,Aucune,		"
"232,7.74,0,,Aucune,		"
"233,7.77,0,,Aucune,		"
"234,7.81,0,,Aucune,		"
"235,7.84,0,,Aucune,		"
"236,7.87,0,,Aucune,		"
"237,7.91,0,,Aucune,		"
"238,7.94,0,,Aucune,		"
"239,7.97,0,,Aucune,		"
"240,8.01,0,,Aucune,		"
"241,8.04,0,,Aucune,		"
"242,8.07,0,,Aucune,		"
"243,8.11,0,,Aucune,		"
"244,8.14,0,,Aucune,		"
"245,8.17,0,,Aucune,		"
"246,8.21,0,,Aucune,		"
"247,8.24,0,,Aucune,		"
"248,8.27,0,,Aucune,		"
"249,8.31,0,,Aucune,		"
"250,8.34,0,,Aucune,		"
"251,8.37,0,,Aucune,		"
"252,8.41,0,,Aucune,		"
"253,8.44,0,,Aucune,		"
"254,8.47,0,,Aucune,		"
"255,8.51,0,,Aucune,		"
"256,8.54,0,,Aucune,		"
"257,8.57,0,,Aucune,		"
"258,8.61,0,,Aucune,		"
"259,8.64,0,,Aucune,		"
"260,8.67,0,,Aucune,		"
"261,8.71,0,,Aucune,		"
"262,8.74,0,,Aucune,		"
"263,8.77,0,,Aucune,		"
"264,8.81,0,,Aucune,		"
"265,8.84,0,,Aucune,		"
"266,8.87,0,,Aucune,		"
"267,8.91,0,,Aucune,		"
"268,8.94,0,,Aucune,		"
"269,8.97,0,,Aucune,		"
"270,9.01,0,,Aucune,		"
"271,9.04,0,,Aucune,		"
"272,9.07,0,,Aucune,		"
"273,9.11,0,,Aucune,		"
"274,9.14,0,,Aucune,		"
"275,9.17,0,,Aucune,		"
"276,9.21,0,,Aucune,		"
"277,9.24,0,,Aucune,		"
"278,9.27,0,,Aucune,		"
"279,9.31,0,,Aucune,		"
"280,9.34,0,,Aucune,		"
"281,9.37,0,,Aucune,		"
"282,9.41,0,,Aucune,		"
"283,9.44,0,,Aucune,		"
"284,9.47,0,,Aucune,		"
"285,9.51,0,,Aucune,		"
"286,9.54,0,,Aucune,		"
"287,9.57,0,,Aucune,		"
"288,9.61,0,,Aucune,		"
"289,9.64,0,,Aucune,		"
"290,9.67,0,,Aucune,		"
"291,9.71,0,,Aucune,		"
"292,9.74,0,,Aucune,		"
"293,9.77,0,,Aucune,		"
"294,9.81,0,,Aucune,		"
"295,9.84,0,,Aucune,		"
"296,9.87,0,,Aucune,		"
"297,9.91,0,,Aucune,		"
"298,9.94,1,13,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"299,9.97,0,,Aucune,		"
"300,10.01,1,14,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"301,10.04,0,,Aucune,		"
"302,10.07,0,,Aucune,		"
"303,10.11,0,,Aucune,		"
"304,10.14,1,15,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"305,10.17,0,,Aucune,		"
"306,10.21,0,,Aucune,		"
"307,10.24,0,,Aucune,		"
"308,10.27,0,,Aucune,		"
"309,10.31,0,,Aucune,		"
"310,10.34,0,,Aucune,		"
"311,10.37,0,,Aucune,		"
"312,10.41,0,,Aucune,		"
"313,10.44,0,,Aucune,		"
"314,10.47,0,,Aucune,		"
"315,10.51,0,,Aucune,		"
"316,10.54,0,,Aucune,		"
"317,10.57,0,,Aucune,		"
"318,10.61,0,,Aucune,		"
"319,10.64,0,,Aucune,		"
"320,10.67,0,,Aucune,		"
"321,10.71,0,,Aucune,		"
"322,10.74,0,,Aucune,		"
"323,10.77,0,,Aucune,		"
"324,10.81,0,,Aucune,		"
"325,10.84,0,,Aucune,		"
"326,10.88,1,16,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"327,10.91,0,,Aucune,		"
"328,10.94,0,,Aucune,		"
"329,10.98,0,,Aucune,		"
"330,11.01,0,,Aucune,		"
"331,11.04,0,,Aucune,		"
"332,11.08,0,,Aucune,		"
"333,11.11,0,,Aucune,		"
"334,11.14,0,,Aucune,		"
"335,11.18,0,,Aucune,		"
"336,11.21,0,,Aucune,		"
"337,11.24,0,,Aucune,		"
"338,11.28,0,,Aucune,		"
"339,11.31,0,,Aucune,		"
"340,11.34,0,,Aucune,		"
"341,11.38,0,,Aucune,		"
"342,11.41,0,,Aucune,		"
"343,11.44,0,,Aucune,		"
"344,11.48,0,,Aucune,		"
"345,11.51,0,,Aucune,		"
"346,11.54,0,,Aucune,		"
"347,11.58,0,,Aucune,		"
"348,11.61,0,,Aucune,		"
"349,11.64,0,,Aucune,		"
"350,11.68,0,,Aucune,		"
"351,11.71,0,,Aucune,		"
"352,11.74,0,,Aucune,		"
"353,11.78,0,,Aucune,		"
"354,11.81,0,,Aucune,		"
"355,11.84,0,,Aucune,		"
"356,11.88,0,,Aucune,		"
"357,11.91,0,,Aucune,		"
"358,11.94,0,,Aucune,		"
"359,11.98,0,,Aucune,		"
"360,12.01,0,,Aucune,		"
"361,12.04,0,,Aucune,		"
"362,12.08,0,,Aucune,		"
"363,12.11,0,,Aucune,		"
"364,12.14,0,,Aucune,		"
"365,12.18,0,,Aucune,		"
"366,12.21,0,,Aucune,		"
"367,12.24,0,,Aucune,		"
"368,12.28,0,,Aucune,		"
"369,12.31,0,,Aucune,		"
"370,12.34,0,,Aucune,		"
"371,12.38,0,,Aucune,		"
"372,12.41,0,,Aucune,		"
"373,12.44,0,,Aucune,		"
"374,12.48,0,,Aucune,		"
"375,12.51,0,,Aucune,		"
"376,12.54,0,,Aucune,		"
"377,12.58,0,,Aucune,		"
"378,12.61,0,,Aucune,		"
"379,12.64,0,,Aucune,		"
"380,12.68,0,,Aucune,		"
"381,12.71,0,,Aucune,		"
"382,12.74,0,,Aucune,		"
"383,12.78,0,,Aucune,		"
"384,12.81,0,,Aucune,		"
"385,12.84,0,,Aucune,		"
"386,12.88,0,,Aucune,		"
"387,12.91,0,,Aucune,		"
"388,12.94,0,,Aucune,		"
"389,12.98,0,,Aucune,		"
"390,13.01,0,,Aucune,		"
"391,13.04,0,,Aucune,		"
"392,13.08,0,,Aucune,		"
"393,13.11,0,,Aucune,		"
"394,13.14,0,,Aucune,		"
"395,13.18,0,,Aucune,		"
"396,13.21,0,,Aucune,		"
"397,13.24,0,,Aucune,		"
"398,13.28,0,,Aucune,		"
"399,13.31,0,,Aucune,		"
"400,13.34,0,,Aucune,		"
"401,13.38,0,,Aucune,		"
"402,13.41,0,,Aucune,		"
"403,13.44,0,,Aucune,		"
"404,13.48,0,,Aucune,		"
"405,13.51,0,,Aucune,		"
"406,13.54,0,,Aucune,		"
"407,13.58,0,,Aucune,		"
"408,13.61,0,,Aucune,		"
"409,13.64,0,,Aucune,		"
"410,13.68,0,,Aucune,		"
"411,13.71,0,,Aucune,		"
"412,13.74,0,,Aucune,		"
"413,13.78,0,,Aucune,		"
"414,13.81,0,,Aucune,		"
"415,13.84,0,,Aucune,		"
"416,13.88,0,,Aucune,		"
"417,13.91,0,,Aucune,		"
"418,13.94,0,,Aucune,		"
"419,13.98,0,,Aucune,		"
"420,14.01,0,,Aucune,		"
"421,14.04,0,,Aucune,		"
"422,14.08,0,,Aucune,		"
"423,14.11,0,,Aucune,		"
"424,14.14,0,,Aucune,		"
"425,14.18,0,,Aucune,		"
"426,14.21,0,,Aucune,		"
"427,14.24,0,,Aucune,		"
"428,14.28,0,,Aucune,		"
"429,14.31,0,,Aucune,		"
"430,14.34,0,,Aucune,		"
"431,14.38,0,,Aucune,		"
"432,14.41,0,,Aucune,		"
"433,14.44,0,,Aucune,		"
"434,14.48,0,,Aucune,		"
"435,14.51,1,17,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"436,14.54,0,,Aucune,		"
"437,14.58,0,,Aucune,		"
"438,14.61,0,,Aucune,		"
"439,14.64,0,,Aucune,		"
"440,14.68,0,,Aucune,		"
"441,14.71,0,,Aucune,		"
"442,14.74,0,,Aucune,		"
"443,14.78,0,,Aucune,		"
"444,14.81,0,,Aucune,		"
"445,14.84,0,,Aucune,		"
"446,14.88,0,,Aucune,		"
"447,14.91,0,,Aucune,		"
"448,14.94,0,,Aucune,		"
"449,14.98,0,,Aucune,		"
"450,15.01,0,,Aucune,		"
"451,15.04,0,,Aucune,		"
"452,15.08,0,,Aucune,		"
"453,15.11,0,,Aucune,		"
"454,15.15,0,,Aucune,		"
"455,15.18,0,,Aucune,		"
"456,15.21,0,,Aucune,		"
"457,15.25,0,,Aucune,		"
"458,15.28,0,,Aucune,		"
"459,15.31,0,,Aucune,		"
"460,15.35,0,,Aucune,		"
"461,15.38,0,,Aucune,		"
"462,15.41,0,,Aucune,		"
"463,15.45,0,,Aucune,		"
"464,15.48,0,,Aucune,		"
"465,15.51,0,,Aucune,		"
"466,15.55,0,,Aucune,		"
"467,15.58,0,,Aucune,		"
"468,15.61,0,,Aucune,		"
"469,15.65,0,,Aucune,		"
"470,15.68,0,,Aucune,		"
"471,15.71,0,,Aucune,		"
"472,15.75,0,,Aucune,		"
"473,15.78,0,,Aucune,		"
"474,15.81,0,,Aucune,		"
"475,15.85,0,,Aucune,		"
"476,15.88,0,,Aucune,		"
"477,15.91,0,,Aucune,		"
"478,15.95,0,,Aucune,		"
"479,15.98,0,,Aucune,		"
"480,16.01,0,,Aucune,		"
"481,16.05,0,,Aucune,		"
"482,16.08,0,,Aucune,		"
"483,16.11,0,,Aucune,		"
"484,16.15,0,,Aucune,		"
"485,16.18,0,,Aucune,		"
"486,16.21,1,18,PACKAGING_DÉCHIRÉ	 PAS_TRIANGLE,?	"
"487,16.25,0,,Aucune,		"
"488,16.28,0,,Aucune,		"
"489,16.31,0,,Aucune,		"
"490,16.35,0,,Aucune,		"
"491,16.38,0,,Aucune,		"
"492,16.41,0,,Aucune,		"
"493,16.45,0,,Aucune,		"
"494,16.48,0,,Aucune,		"
"495,16.51,0,,Aucune,		"
"496,16.55,0,,Aucune,		"
"497,16.58,0,,Aucune,		"
"498,16.61,0,,Aucune,		"
"499,16.65,0,,Aucune,		"
"500,16.68,0,,Aucune,		"
"501,16.71,0,,Aucune,		"
"502,16.75,0,,Aucune,		"
"503,16.78,0,,Aucune,		"
"504,16.81,0,,Aucune,		"
"505,16.85,0,,Aucune,		"
"506,16.88,0,,Aucune,		"
"507,16.91,0,,Aucune,		"
"508,16.95,0,,Aucune,		"
"509,16.98,0,,Aucune,		"
"510,17.01,0,,Aucune,		"
"511,17.05,0,,Aucune,		"
"512,17.08,0,,Aucune,		"
"513,17.11,0,,Aucune,		"
"514,17.15,0,,Aucune,		"
"515,17.18,0,,Aucune,		"
"516,17.21,0,,Aucune,		"
"517,17.25,0,,Aucune,		"
"518,17.28,0,,Aucune,		"
"519,17.31,0,,Aucune,		"
"520,17.35,0,,Aucune,		"
"521,17.38,0,,Aucune,		"
"522,17.41,0,,Aucune,		"
"523,17.45,0,,Aucune,		"
"524,17.48,0,,Aucune,		"
"525,17.51,0,,Aucune,		"
"526,17.55,0,,Aucune,		"
"527,17.58,0,,Aucune,		"
"528,17.61,0,,Aucune,		"
"529,17.65,0,,Aucune,		"
"530,17.68,0,,Aucune,		"
"531,17.71,0,,Aucune,		"
"532,17.75,0,,Aucune,		"
"533,17.78,0,,Aucune,		"
"534,17.81,0,,Aucune,		"
"535,17.85,0,,Aucune,		"
"536,17.88,0,,Aucune,		"
